role,talkTitle,talkVenue,talkLocation,talkDate
"Panelist","Sharing data in global health: finding reality in the aspiration","Gates Grand Challenges Meeting","Washington DC","2017 October 03"
,"[Supporting communities in an increasingly decentralized biomedical research ecosystem](https://www.slideshare.net/BrianMBot/supporting-communities-in-an-increasingly-decentralized-biomedical-research-ecosystem)","Creative Commons Summit","Toronto","2017 April 30"
"Panelist","Giving back: how returning data can improve health","South By Southwest (SXSW)","Austin, TX","2017 March 14"
"Keynote","[Decentralization: a trend in biomedical research](http://www.slideshare.net/BrianMBot/decentralization-a-trend-in-biomedical-research)","Clinical Trials Transformation Initiative","Washington DC","2016 September 28"
,"Research participation as a social contract","Responsible openness, International Data Forum","Denver, CO","2016 September 14"
,"[The beginnings of an open ecosystem in mHealth](http://www.slideshare.net/BrianMBot/the-beginnings-of-an-open-ecosystem-in-mhealth)","New York Academy of Sciences Conference on Mobile Health: The Power of Wearables, Sensors, and Apps to Transform Clinical Trials","New York, NY","2015 September 30"
"Keynote","[Biomedical research in an increasingly digital world](http://www.slideshare.net/BrianMBot/biomedical-research-in-an-increasingly-digital-world)","Department of Defense (DOD) Breast Cancer Research Program Vision Setting Meeting","Baltimore, MD","2015 January 13"
,"Patient-as-partner: building a bridge between citizens and researchers","White House OSTP Roundtable on Patient Data Donation for Research","Washington DC","2014 August 8"
,"Large-scale collaborative science","Discovery and Validation of Novel Therapeutic Targets for Alzheimer’s Disease: National Institute of Aging (NIA)","Bethesda, MD","2014 February 5"
"Discussant","Tools for implementing reproducible research","Eastern North American Region (ENAR) / International Biometric Society","Orlando, FL","2013 March 11"
